Container_ID,Declaration_Date (YYYY-MM-DD),Declaration_Time,Trade_Regime (Import / Export / Transit),Origin_Country,Destination_Port,Destination_Country,HS_Code,Importer_ID,Exporter_ID,Declared_Value,Declared_Weight,Measured_Weight,Shipping_Line,Dwell_Time_Hours,Clearance_Status
43035997,2020-01-01,23:18:37,Import,CN,PORT_30,CR,851660,4IDKLYQ,S7GIAHP,2359189.8,5346.0,5413.894,LINE_MODE_40,49.1,Clear
35204875,2020-01-01,14:47:55,Import,ID,PORT_62,JP,441231,44A9O7H,SLE6478,2594851.2,45684.0,46766.711,LINE_B7S0RD,62.3,Clear
47555392,2020-01-01,15:41:52,Import,JP,PORT_20,TH,842952,H5ELQX1,DHZWEP3,1084552.0,1712.0,1695.222,LINE_W6UCD9,34.2,Clear
54770090,2020-01-01,17:14:50,Import,US,PORT_20,JP,821300,IKARAKA,10T1QG8,1620.5,5.0,4.956,LINE_MODE_40,34.9,Clear
91408622,2020-01-01,01:49:02,Import,CN,PORT_40,PL,852580,Y87ZITA,BXMTYM2,50127.0,110.0,114.567,LINE_MODE_40,99.0,Low Risk
55920693,2020-01-01,09:19:33,Import,CN,PORT_50,CL,420292,PK9KAKW,LBW8NB5,189.6,316.0,304.845,LINE_A5IT1U,19.4,Clear
57409866,2020-01-01,02:47:06,Import,CN,PORT_30,UG,481950,EJBNJ7G,AE0JJD2,95.55,24.5,24.578,LINE_MODE_10,48.8,Clear
24077377,2020-01-01,17:01:37,Import,CN,PORT_20,PG,950300,CJ6ZCGQ,SPNQCD4,716565.9,10711.0,10954.14,LINE_MODE_40,55.7,Clear
19201172,2020-01-01,02:11:32,Import,CN,PORT_40,ZZ,200599,Q8MAKJD,KILND1W,4575904.0,48320.0,48329.664,LINE_MODE_10,46.8,Clear
25886903,2020-01-01,05:56:23,Import,CA,PORT_20,PG,851762,EHXQG9A,W3K0JC6,13320.27,14.1,14.237,LINE_MODE_10,53.1,Clear
64705381,2020-01-01,16:59:01,Import,DE,PORT_30,HU,732690,Y3QS787,KQ8UJP7,33.0,22.0,22.455,LINE_MODE_10,60.4,Clear
51313213,2020-01-01,20:08:13,Import,GB,PORT_16,SI,391190,TM6WOEY,G15KUZ2,10106.25,24.5,28.406,LINE_MWIDNS,45.0,Low Risk
21073696,2020-01-01,02:04:16,Import,NP,PORT_70,EC,920600,55BH1VM,OOZO637,3486.0,60.0,62.292,LINE_MODE_10,71.9,Clear
38525083,2020-01-02,05:52:43,Import,CN,PORT_40,UG,401699,EM2E4JI,NL4ITTS,72.4,4.0,4.079,LINE_MODE_10,59.7,Clear
47431706,2020-01-02,04:24:26,Import,US,PORT_30,KR,392690,4P7B5G1,DLZIJEQ,136.92,228.2,203.865,LINE_MODE_10,34.6,Low Risk
83743051,2020-01-02,11:13:31,Import,CN,PORT_40,PY,620462,2P3V50X,O6JLM7J,30866.0,220.0,227.854,LINE_MODE_10,70.3,Clear
63617737,2020-01-02,16:27:37,Import,CN,PORT_40,TT,610990,AGE39KK,ZHR1CC1,1250.0,20.0,20.854,LINE_MODE_40,68.9,Clear
32708224,2020-01-02,06:41:04,Import,CN,PORT_40,MT,392690,C156PIZ,DWNJQL8,9.3,15.5,15.1,LINE_MWIDNS,29.7,Clear
94748548,2020-01-02,18:30:28,Import,CN,PORT_20,BA,950300,708A72F,N1MU33Y,28930.0,110.0,150.264,LINE_MODE_10,142.5,Critical
38543102,2020-01-02,12:57:02,Import,NI,PORT_30,IL,630790,35QPBS0,QDA3U8T,690.0,300.0,329.112,LINE_MODE_10,36.2,Low Risk
57728656,2020-01-02,16:00:16,Import,CN,PORT_40,ZZ,640299,1E7DTR5,1DKNO2M,514.0,5.0,4.791,LINE_MODE_10,19.1,Clear
40371610,2020-01-02,23:00:10,Import,TR,PORT_40,LV,250810,9RMD0T5,YFEUVQC,64568.84,2819.6,2907.572,LINE_W6UCD9,67.3,Clear
73126688,2020-01-02,03:06:08,Import,US,PORT_20,LV,392690,MJZO983,E3Q8ABV,9.48,0.3,0.313,LINE_VZIZJJ,74.5,Clear
24697408,2020-01-02,11:51:28,Import,VN,PORT_10,CA,940490,SKDR671,MM7MN4S,21053.34,911.4,895.177,LINE_MODE_10,34.9,Clear
95975634,2020-01-02,00:17:54,Import,DE,PORT_30,GU,390950,28OZXXF,42VLJD6,110175.0,250.0,301.46,LINE_MODE_10,98.9,Low Risk
46824398,2020-01-02,18:54:38,Import,CN,PORT_10,GU,940360,ZYVOW2Z,XVKXZOK,70290.0,9900.0,10268.28,LINE_MODE_10,71.2,Clear
93188371,2020-01-02,18:55:31,Import,CN,PORT_40,BR,620463,F3XOF3E,U69S3XW,403485.6,6132.0,5982.992,LINE_MODE_10,30.7,Clear
27330422,2020-01-02,10:19:02,Import,CN,PORT_40,IL,841320,6JZPZ3O,V9GO1VJ,44082.72,3643.2,3735.009,LINE_MODE_10,63.3,Clear
84902588,2020-01-02,06:11:08,Import,IT,PORT_10,AM,841459,037VMHI,NNBIK6P,25152.84,392.4,389.339,LINE_MODE_10,41.5,Clear
57565526,2020-01-02,23:21:26,Import,VN,PORT_30,UG,640299,N6CG9ZF,EKEWR8W,359100.96,3493.2,3399.582,LINE_MODE_10,29.0,Clear
73045847,2020-01-02,08:02:47,Import,CN,PORT_20,SD,850519,U89JAWF,PUR3454,218.0,5.0,5.188,LINE_MODE_40,65.6,Clear
98752699,2020-01-02,01:22:19,Import,DE,PORT_30,HN,330499,YFDPPDW,5WRJWBD,67678.0,380.0,384.446,LINE_MODE_10,54.4,Clear
88268883,2020-01-02,20:56:03,Import,CN,PORT_40,RS,610910,EKI0ID0,CXC3E7O,624.0,40.0,48.298,LINE_MODE_40,93.4,Low Risk
35053269,2020-01-02,14:25:09,Import,JP,PORT_40,HU,310100,MODEXI2,R6OX3Y9,4712130.0,127700.0,124724.59,LINE_MWIDNS,25.3,Clear
51770822,2020-01-02,07:19:02,Import,TW,PORT_40,BA,940290,NMF3ARJ,FDS7TF3,22570.0,14.8,15.173,LINE_EIZP3I,57.3,Clear
39894127,2020-01-02,04:34:07,Import,VN,PORT_20,HN,940169,0NBY50H,IHDE3DP,258480.0,3600.0,3591.72,LINE_MODE_40,39.2,Clear
65839607,2020-01-02,14:18:47,Import,DE,PORT_20,LV,392690,J4HE1D5,TJ5LQYN,60.0,100.0,95.77,LINE_MODE_10,18.8,Clear
50196114,2020-01-02,19:45:54,Import,JP,PORT_20,GU,071290,QBIH1EB,Z7DI1C1,81170.0,100.0,97.92,LINE_MODE_10,33.0,Clear
23794696,2020-01-02,21:54:16,Import,VN,PORT_30,JP,160419,ETURNFG,AM05MDE,252150.0,500.0,519.1,LINE_MODE_10,71.9,Clear
65637572,2020-01-02,13:11:32,Import,CN,PORT_20,UG,901910,GR4J0RB,SB737F4,6630.0,1275.0,1275.255,LINE_MODE_10,46.8,Clear
78327056,2020-01-02,04:26:56,Import,CN,PORT_20,SV,200599,7OUO7H7,IJ8KT4I,385200.0,6000.0,5749.2,LINE_MODE_10,19.1,Clear
11817825,2020-01-02,13:43:45,Import,JP,PORT_16,CR,844180,EXV87PQ,AWI1M30,1121380.0,24700.0,24667.89,LINE_MODE_40,39.8,Clear
14504852,2020-01-02,09:39:32,Import,CN,PORT_62,CR,851829,BLZGA7I,P5KJOIV,722568.0,7590.0,7287.918,LINE_MODE_40,14.4,Clear
60904587,2020-01-02,10:08:27,Import,CH,PORT_20,LR,910229,T9K1CH7,L5GONLU,57.22,0.2,0.194,LINE_MODE_10,25.4,Clear
52259628,2020-01-02,21:21:48,Import,IT,PORT_20,NO,420330,K475220,VVFLVNF,1712.0,5.0,4.861,LINE_MODE_10,28.3,Clear
53200097,2020-01-02,13:20:17,Import,US,PORT_40,MG,853690,RVKGBFV,DYE3F4N,156.8,4.0,3.631,LINE_MODE_40,12.5,Low Risk
92603662,2020-01-02,03:06:22,Import,DE,PORT_20,SI,853710,MRAROIU,UVKG8JK,180.3,0.6,0.603,LINE_MODE_10,50.1,Clear
84067615,2020-01-02,23:46:55,Import,MY,PORT_40,PY,261900,O6AMSF7,L04YPY8,1215840.0,202640.0,193257.768,LINE_MWIDNS,10.1,Clear
84059707,2020-01-02,12:47:07,Import,US,PORT_20,PL,400911,FBKWIIB,WCKFJ61,725.76,1.6,1.612,LINE_MODE_10,51.8,Clear
21143403,2020-01-02,06:58:03,Import,CN,PORT_40,DJ,851829,NB7S8YQ,OJSCAW7,8377.6,88.0,80.063,LINE_MODE_10,16.7,Low Risk
54838489,2020-01-02,20:58:49,Import,US,PORT_20,AT,630710,LHMZ0BH,LQIJWPR,6534.84,920.4,889.751,LINE_MODE_10,24.7,Clear
56747478,2020-01-02,01:59:18,Import,IT,PORT_20,AM,680291,Y6R9IMD,Y1DIJHP,1173600.0,24000.0,23932.8,LINE_MODE_10,44.8,Clear
97878449,2020-01-02,19:11:29,Import,CN,PORT_20,PG,560391,GNTQ01X,NH38CYF,47023.8,543.0,535.778,LINE_MODE_10,37.9,Clear
65547224,2020-01-02,03:17:44,Import,FR,PORT_40,DJ,851822,LLOUM5I,H0YUACY,7095.0,50.0,48.71,LINE_MODE_10,29.7,Clear
91910410,2020-01-02,19:20:10,Import,MY,PORT_40,HN,401519,8V7MR0F,MEIP9W0,401265.0,7230.0,7455.576,LINE_MODE_40,61.3,Clear
55296135,2020-01-02,21:02:15,Import,PL,PORT_20,SD,620462,AY89LH5,YVRA5HF,14030.0,100.0,99.37,LINE_MODE_40,36.5,Clear
29892142,2020-01-02,15:14:22,Import,CN,PORT_40,OM,961800,22JV8UE,9BL24RS,16042.53,55.3,53.376,LINE_MODE_10,23.7,Clear
92537849,2020-01-02,23:41:29,Import,CN,PORT_40,PG,854370,VIXK8AG,U3GCVEO,3830.32,330.2,325.808,LINE_MODE_40,31.9,Clear
33419521,2020-01-02,10:28:01,Import,VN,PORT_20,UG,620343,PCSBCXW,PF56GPT,592800.0,3000.0,2852.1,LINE_MODE_10,14.2,Clear
90239614,2020-01-02,13:37:34,Import,DE,PORT_80,GG,842199,3Z5L1PO,Y03WKJU,1786.4,308.0,316.994,LINE_MODE_40,60.0,Clear
79755031,2020-01-02,11:26:31,Import,GB,PORT_40,UG,852329,2D2MYTA,46C5OXJ,144800.77,5.3,5.542,LINE_MODE_10,10.9,Clear
90985933,2020-01-02,00:20:13,Import,US,PORT_40,KR,830250,LMC03UW,B1875BL,126.7,1.0,1.045,LINE_MODE_40,4.2,Clear
29121654,2020-01-02,17:44:54,Import,CN,PORT_62,FJ,850490,N2WHDTJ,20P79IP,104965.5,435.0,439.002,LINE_2SP9SH,46.8,Clear
39996759,2020-01-02,17:36:39,Import,CN,PORT_13,NO,650691,BMH6J4M,1QSWF8K,194567.76,597.2,586.271,LINE_MODE_10,34.6,Clear
65153144,2020-01-02,21:49:44,Import,TW,PORT_20,HN,854239,0LICM7E,IU5QO7Q,522.5,12.5,12.678,LINE_MODE_10,56.1,Clear
55355481,2020-01-02,05:07:21,Import,CN,PORT_40,FJ,391990,HXRYQ4U,V4Z5Z2K,3.0,30.0,27.063,LINE_MODE_10,23.1,Low Risk
37082229,2020-01-02,02:01:09,Import,CN,PORT_20,BR,392690,30TFI2G,LICIJAN,108.0,180.0,204.091,LINE_MODE_10,44.9,Low Risk
13844785,2020-01-02,19:26:25,Import,CN,PORT_40,LR,871200,5VOMCFU,U0867HI,1676759.75,4953.5,5965.203,LINE_VZIZJJ,92.4,Low Risk
70709940,2020-01-02,21:39:00,Import,DE,PORT_30,IL,841940,DMW06JW,F5O2DK0,266362.46,154.7,157.206,LINE_MODE_40,51.4,Clear
51502279,2020-01-02,00:15:19,Import,TH,PORT_20,BR,392062,V7AX5I3,57M3YAH,299886.1,20681.8,21130.595,LINE_EIZP3I,61.0,Clear
48433537,2020-01-02,14:37:37,Import,CN,PORT_40,CA,902490,GG8BN7J,0FWK4FA,2911.5,15.0,15.64,LINE_EIZP3I,74.9,Clear
27142667,2020-01-02,05:09:47,Import,CN,PORT_40,PY,611011,HW96MLB,Y7GUHAF,188.79,0.7,0.719,LINE_W6UCD9,59.0,Clear
20824144,2020-01-02,09:33:04,Import,TW,PORT_40,BR,848190,BGXLMKK,V7U393R,87.8,2.0,2.028,LINE_MODE_10,56.1,Clear
48809614,2020-01-02,17:17:34,Import,MY,PORT_40,HU,370130,HK4G0IL,B2R58DL,138142.4,44.0,45.285,LINE_MODE_10,66.0,Clear
66009718,2020-01-02,01:29:58,Import,CN,PORT_20,RS,940169,L26HSGE,OAXQLRN,116890.4,1628.0,1590.882,LINE_MODE_10,31.6,Clear
33127022,2020-01-02,04:29:02,Import,CN,PORT_30,ES,940490,IITU56C,KGLU4BG,13349.49,577.9,592.463,LINE_MODE_10,63.3,Clear
32069865,2020-01-02,15:17:45,Import,CN,PORT_20,PY,630622,5PE4M24,A7POIBB,7140.0,1020.0,914.44,LINE_MODE_40,25.2,Low Risk
62040320,2020-01-02,22:45:20,Import,VN,PORT_13,CR,230990,HJAXBP3,96QVZP3,3252600.0,46800.0,48026.16,LINE_MODE_10,64.0,Clear
15851969,2020-01-02,02:03:29,Import,JP,PORT_20,SV,390290,F3LYP3T,U8M4Z4C,840480.0,2400.0,2464.08,LINE_MODE_10,64.3,Clear
26796424,2020-01-02,04:31:04,Import,TH,PORT_30,LV,392062,TP13DDU,UQHMADE,299886.1,20681.8,20148.21,LINE_MODE_10,29.7,Clear
32843831,2020-01-02,23:13:11,Import,KR,PORT_40,JP,847790,YHZF1M5,ZX33IL2,8080.2,67.0,71.979,LINE_MODE_10,8.6,Low Risk
46259371,2020-01-02,07:05:31,Import,CN,PORT_39,CA,620640,8OK2G0F,NWB76BS,687.6,36.0,35.125,LINE_988GCP,30.7,Clear
36201135,2020-01-02,04:52:15,Import,CN,PORT_20,ES,392690,C778XGM,BVU01MU,30.6,51.0,50.679,LINE_MODE_10,42.5,Clear
15655053,2020-01-02,08:25:33,Import,CN,PORT_30,PG,720221,FM24UMT,OMBWJUK,7572000.0,20000.0,19694.0,LINE_MODE_10,36.6,Clear
37204442,2020-01-02,13:06:02,Import,VN,PORT_40,GN,620292,H3KPREH,5VUE8VT,710446.68,505.8,513.488,LINE_MODE_40,50.7,Clear
30390132,2020-01-02,08:54:12,Import,US,PORT_20,TT,903010,YPAL7B4,26DPZC6,27030.64,2.6,2.653,LINE_MODE_10,60.0,Clear
34512418,2020-01-02,00:14:58,Import,CN,PORT_40,MT,950300,HESM5N3,R3UQ8GB,333041.58,4978.2,5113.607,LINE_VZIZJJ,58.6,Clear
74483829,2020-01-02,07:21:09,Import,TH,PORT_20,UZ,210690,3UGLL4I,5LPVHRD,5882250.0,46500.0,46346.55,LINE_MODE_10,44.5,Clear
17476981,2020-01-02,01:59:01,Import,DE,PORT_40,BR,121190,30EZMVX,69RSNY6,18.12,0.3,0.306,LINE_MWIDNS,54.4,Clear
65912175,2020-01-02,17:56:15,Import,CN,PORT_40,NG,940180,E808G5S,LP6EWRR,7257.84,6048.2,5889.132,LINE_MODE_10,29.3,Clear
91007101,2020-01-02,11:01:01,Import,CN,PORT_20,IL,650500,YC583OE,XE2UJGU,732.6,198.0,190.219,LINE_MODE_10,20.8,Clear
54007502,2020-01-02,04:37:02,Import,CN,PORT_20,BR,940540,HZ768MN,1XUHGU5,26368.0,2560.0,2808.422,LINE_MWIDNS,36.2,Low Risk
80451343,2020-01-02,08:03:43,Import,CN,PORT_20,MN,620442,1F28A1Z,XXPRVGD,11660.0,200.0,197.94,LINE_MODE_10,39.9,Clear
65531568,2020-01-02,00:00:48,Import,FI,PORT_30,EC,681182,TQEVPHY,Z2JP4ZG,1070.0,10.0,10.022,LINE_MODE_10,48.1,Clear
88467426,2020-01-02,13:53:06,Import,GB,PORT_30,PG,382200,1OQ5SZB,VO9L3NH,917.43,0.3,0.307,LINE_MODE_10,62.0,Clear
29537685,2020-01-02,11:54:45,Import,CN,PORT_20,PL,071080,J986ETI,V7P5ZIU,2694147.0,11010.0,10665.387,LINE_MODE_10,26.0,Clear
43802671,2020-01-02,16:40:31,Import,CA,PORT_40,FJ,870324,1UP3S1C,6WQKYWD,15540.8,1766.0,1840.737,LINE_W6UCD9,99.5,Low Risk
23304760,2020-01-02,12:12:40,Import,US,PORT_20,UG,481149,9AG8233,I6HZCKT,11690.0,700.0,704.34,LINE_MODE_10,50.8,Clear
41792613,2020-01-02,04:51:33,Import,IT,PORT_20,CL,420292,2TSD24C,W5WQQV8,0.6,1.0,1.005,LINE_MODE_40,43.8,Clear
64496769,2020-01-02,21:10:09,Import,CN,PORT_16,ES,841459,O64BOMR,YN3O2G6,609591.0,9510.0,9763.917,LINE_MODE_40,58.3,Clear
99343212,2020-01-02,18:32:12,Import,CN,PORT_16,TT,732690,LDUEBK6,8PDKYER,99.0,66.0,64.693,LINE_MODE_10,33.6,Clear
99562790,2020-01-02,07:39:50,Import,SE,PORT_40,RS,901839,MQF0P6B,BCTIFJS,1630.5,5.0,5.206,LINE_MODE_40,67.9,Clear
58095731,2020-01-02,09:38:11,Import,JP,PORT_40,BG,950631,MQ8UVBH,7G104PH,12975.0,30.0,29.871,LINE_MODE_40,37.9,Clear
72377348,2020-01-02,22:57:08,Import,CN,PORT_40,CR,950300,KZQQLLU,YZLV2C4,196480.0,1600.0,1619.52,LINE_77BN4M,48.7,Clear
38958183,2020-01-02,23:31:03,Import,JP,PORT_20,TT,392690,TJ0SUA2,E0OSKO6,0.3,0.5,0.485,LINE_MODE_10,26.7,Clear
26613376,2020-01-02,04:52:16,Import,CN,PORT_40,RS,611030,L47OGO7,MU7NSIW,5837.12,62.9,62.787,LINE_MWIDNS,39.5,Clear
46835605,2020-01-02,19:33:25,Import,CH,PORT_20,IR,910219,S0XK6J5,X3S3PP4,315.54,0.1,0.101,LINE_MODE_10,52.4,Clear
37738859,2020-01-02,07:44:59,Import,CN,PORT_30,ZZ,901910,OT1NUHM,REPR4IS,946.4,182.0,187.769,LINE_MODE_40,61.6,Clear
48558371,2020-01-02,08:22:11,Import,ID,PORT_20,SV,401699,K69MR49,H40BV8D,126428.5,6985.0,6815.264,LINE_MODE_10,30.7,Clear
93938093,2020-01-02,23:02:53,Import,DE,PORT_40,PY,842199,U71WUN6,6QOKZS1,319.0,55.0,53.058,LINE_MODE_40,17.4,Clear
93098019,2020-01-02,19:57:39,Import,TH,PORT_20,IL,853641,64IKMJ1,OZB7KED,16053.75,1284.3,1222.268,LINE_MODE_10,14.8,Clear
79556341,2020-01-02,06:15:01,Import,CN,PORT_20,MN,091011,VZ8JFY8,39N2UXR,4512000.0,24000.0,24976.8,LINE_MODE_10,73.6,Clear
78991990,2020-01-02,18:53:10,Import,JP,PORT_20,KE,350691,OS43ICR,HV1AB1L,310.22,0.2,0.208,LINE_MODE_10,73.9,Clear
27310746,2020-01-02,01:55:06,Import,CN,PORT_40,SD,392690,CGN27K6,P9HG2N4,302.4,504.0,485.453,LINE_MODE_40,16.4,Clear
92210701,2020-01-02,17:21:01,Import,VN,PORT_20,PL,845150,PMEDQJ8,E44MM7Y,601200.0,1800.0,1729.26,LINE_MODE_10,20.8,Clear
19036276,2020-01-02,00:07:16,Import,NL,PORT_40,OM,392690,3GQAOA4,7TKBH6M,18.96,0.6,0.629,LINE_MODE_40,6.5,Clear
55100851,2020-01-02,07:03:31,Import,CN,PORT_20,CR,071080,S2VGP2T,8QESJW5,31824000.0,120000.0,124284.0,LINE_MODE_10,70.3,Clear
39065187,2020-01-02,15:38:27,Import,CN,PORT_20,RS,210390,KYY9NKU,AVOO0AW,486000.0,18000.0,17418.6,LINE_MODE_40,19.4,Clear
21827031,2020-01-02,13:39:51,Import,US,PORT_20,MT,330499,C2NJUKR,LX077P8,43447.71,162.3,169.717,LINE_W6UCD9,10.9,Clear
26076545,2020-01-02,19:49:05,Import,IT,PORT_40,NG,640399,2Z2POPJ,MSX9L0Y,1257.0,5.0,5.194,LINE_MODE_40,66.2,Clear
27008836,2020-01-02,06:43:16,Import,CN,PORT_40,MN,382499,5C2RPY6,DH4O31M,125000.0,10000.0,9038.6,LINE_MODE_10,21.7,Low Risk
55933132,2020-01-02,02:50:52,Import,SG,PORT_40,BG,732690,M1KRMOQ,LSITAA8,0.6,0.4,0.408,LINE_MODE_10,60.0,Clear
43497534,2020-01-02,03:02:54,Import,FR,PORT_20,MG,300630,KHZY7FK,QXPOJKV,1097.02,0.2,0.181,LINE_MODE_10,22.3,Low Risk
74776612,2020-01-02,05:08:52,Import,CN,PORT_40,WS,540761,E0BIR2P,PF1L1IG,16722.2,691.0,677.318,LINE_MODE_40,27.6,Clear
14935873,2020-01-02,15:19:13,Import,CN,PORT_120,ZZ,293139,L31A15G,584WE73,870300.0,1500.0,1462.05,LINE_KJ8YGQ,30.0,Clear
89262639,2020-01-02,14:34:39,Import,CN,PORT_40,CA,610910,5KVVCF1,5PDPMM1,624.0,40.0,42.717,LINE_MODE_40,115.8,Low Risk
42185163,2020-01-02,03:54:03,Import,CN,PORT_40,HU,940161,BSUHCD2,HV1AB1L,83797.6,5513.0,5401.086,LINE_MODE_40,27.3,Clear
55295049,2020-01-02,01:08:09,Import,CN,PORT_40,MT,070320,MV2TS4B,2162JQU,11649600.0,48000.0,47361.6,LINE_MODE_10,37.9,Clear
15510874,2020-01-02,19:38:34,Import,ES,PORT_30,PG,711311,ZG0M4ST,0XNKP0S,29.05,0.1,0.114,LINE_MODE_10,46.8,Low Risk
92700589,2020-01-02,14:13:49,Import,CN,PORT_40,LV,960310,JKWLP5F,7J9O5M7,8100.0,20.0,20.334,LINE_MODE_40,51.7,Clear
44059036,2020-01-02,06:53:16,Import,JP,PORT_16,LR,711719,IIX3C8X,CCZWU53,15.6,0.5,0.452,LINE_MODE_10,21.7,Low Risk
38614674,2020-01-02,02:41:54,Import,CN,PORT_16,GG,391810,PWNE9N4,6LCB8O7,21117753.6,108019.2,123340.643,LINE_MODE_10,46.8,Low Risk
73148389,2020-01-02,15:03:49,Import,CN,PORT_13,CA,551512,M5KYBBQ,BDHIVEX,1007.5,775.0,787.942,LINE_MODE_10,57.7,Clear
69898565,2020-01-02,20:36:05,Import,IT,PORT_40,JP,392410,GVRV184,8Y1PKR0,83.86,59.9,61.619,LINE_MODE_10,65.6,Clear
35185413,2020-01-02,09:31:33,Import,US,PORT_20,BR,382200,2Q61RC8,GFE4F5Y,20007.0,5.0,5.023,LINE_MODE_40,43.8,Clear
81166116,2020-01-02,15:44:36,Import,KR,PORT_30,OM,730721,ABC5TTW,6Y7C50F,2210.0,34.0,35.575,LINE_MODE_10,108.1,Low Risk
60596783,2020-01-02,07:34:23,Import,CN,PORT_20,BG,850511,H8JRSLI,MHL4F2V,5399.2,34.0,32.97,LINE_MODE_10,26.7,Clear
97788341,2020-01-02,01:21:41,Import,CN,PORT_20,MN,071080,P1TZXEU,UQT91IP,14073600.0,48000.0,49953.6,LINE_MODE_10,73.6,Clear
82390812,2020-01-02,13:32:12,Import,CN,PORT_16,HN,392690,E970KIJ,GGEFVY8,270.0,450.0,441.09,LINE_MODE_10,33.6,Clear
17795503,2020-01-02,03:39:43,Import,JP,PORT_140,PL,390710,SOJIKWS,YHJZ6P7,66898.0,332.0,335.22,LINE_MODE_10,53.1,Clear
43947541,2020-01-02,18:55:01,Import,CN,PORT_30,LB,071080,9ISMYBS,R4ZGF06,25194000.0,95000.0,101300.4,LINE_MODE_40,114.8,Low Risk
77786590,2020-01-02,12:03:10,Import,CN,PORT_30,MN,900211,EKTUG9G,RZM2Z77,2518.14,0.3,0.312,LINE_MODE_10,73.9,Clear
73776041,2020-01-02,07:16:41,Import,RU,PORT_20,ZZ,400231,O6A9WFE,3AUYF9E,196669620.0,204120.0,202221.684,LINE_MODE_10,40.6,Clear
82760341,2020-01-02,08:15:01,Import,US,PORT_30,OM,390230,BNKZU99,QU5WXTF,715400.0,3500.0,3642.45,LINE_MODE_10,73.6,Clear
34402386,2020-01-02,03:49:06,Import,CN,PORT_30,GU,850440,GGYZ5JZ,0IYY5O6,5907.8,27.1,28.271,LINE_MODE_10,75.2,Clear
11945430,2020-01-02,00:10:30,Import,CN,PORT_20,AT,620453,COVEFBY,3T5GEL3,2280.0,57.0,58.208,LINE_MODE_10,60.7,Clear
84170957,2020-01-02,04:21:17,Import,CN,PORT_40,IR,460211,O3T6YR6,INKZ5TX,1244.4,3.0,3.161,LINE_MODE_10,112.6,Low Risk
14511374,2020-01-02,04:40:14,Import,DE,PORT_20,PY,940389,FT3RAPQ,EBAHJLA,128.44,16.9,17.731,LINE_MODE_10,13.2,Clear
24359899,2020-01-02,08:42:19,Import,TW,PORT_20,NG,853340,AI1JGDK,37OCYAL,2302.5,1.0,1.182,LINE_MODE_10,56.3,Low Risk
86232348,2020-01-02,18:13:48,Import,JP,PORT_40,SV,950631,AV73P2C,0LWHLAN,25085.0,58.0,58.708,LINE_MWIDNS,48.7,Clear
10957814,2020-01-02,01:34:14,Import,RU,PORT_40,ZZ,210690,J37IKI5,DWNJQL8,82882.8,655.2,686.597,LINE_MWIDNS,103.1,Low Risk
54764652,2020-01-02,11:36:12,Import,CN,PORT_12,MG,392690,7TXA94X,GTTZC39,141984.0,1160.0,1054.974,LINE_B12OMY,11.0,Low Risk
29865321,2020-01-02,04:31:21,Import,JP,PORT_40,TH,880330,GSRPMYQ,ZBFN1VW,141492.78,59.8,56.852,LINE_MODE_40,8.2,Clear
